facepos,gender,age,marstat,edu,numhh,lnincome
1,1,37,1,12,5,4.792391689
1,1,44,1,17,5,5.505149978
0,1,33,1,17,2,5.56937391
1,1,51,1,17,4,5.505149978
0,1,37,1,13,3,4.612783857
0,1,28,1,14,5,4.698970004
0,0,48,0,17,2,4.568201724
1,1,62,1,16,2,4.991226076
0,1,31,1,16,4,4.77815125
1,1,52,1,14,2,5.053078443
0,1,49,1,16,5,5.653212514
1,1,50,1,17,5,7
0,1,64,1,12,2,4.491361694
1,1,46,1,16,5,5.079181246
0,1,65,1,12,2,4.361727836
0,0,24,0,12,3,4.113943352
0,1,34,1,14,6,4.176091259
0,1,29,0,13,2,4.322219295
1,1,61,1,17,2,5.176091259
1,1,23,1,10,3,4.531478917
1,1,31,1,17,2,5
0,1,46,1,12,5,4.462397998
0,1,74,1,16,3,5.698970004
1,1,47,1,16,4,4.716003344
1,1,51,1,13,2,4.982271233
0,1,21,0,15,5,2.698970004
1,1,51,1,16,4,5.397940009
0,0,40,0,13,1,4.653212514
1,1,38,1,17,4,5.089905111
0,0,27,0,12,1,4.322219295
0,1,58,0,16,1,4.278753601
1,1,35,1,12,2,4.447158031
0,1,33,1,16,4,4.672097858
0,1,33,2,12,6,4.230448921
1,1,39,1,17,8,5.477121255
1,1,47,1,17,3,5.017033339
0,0,24,0,16,1,4.230448921
0,1,30,2,12,4,4.770852012
0,1,80,1,12,2,4.857332496
0,1,57,1,3,2,4.51851394
1,1,26,1,16,2,4.51851394
1,1,55,1,17,5,5
1,1,50,1,17,2,6.004321374
1,1,40,0,8,1,4.556302501
1,0,59,0,15,1,4.602059991
1,1,65,1,14,2,4.897627091
0,1,24,1,12,2,4.414973348
1,1,41,1,3,5,4.602059991
0,1,27,0,12,1,4
0,0,22,0,16,1,4.079181246
0,0,81,0,5,5,3.414973348
1,1,55,1,13,4,4.913813852
1,1,41,1,12,4,4.982271233
0,0,27,0,5,2,4.079181246
1,1,52,1,14,2,5.255272505
1,1,57,1,16,2,5.595496222
0,1,28,2,13,2,4.505149978
0,1,48,1,17,6,4.556302501
1,1,35,1,14,5,4.531478917
0,1,56,1,12,2,3.698970004
1,1,61,1,17,2,5.161368002
0,1,78,1,17,2,4.785329835
1,1,37,2,12,3,4.672097858
1,1,27,1,12,5,4.397940009
1,1,66,1,14,2,5.049218023
0,1,37,1,16,3,5.021189299
0,1,70,1,17,2,4.72427587
0,1,37,1,17,4,5.075546961
1,1,35,1,12,5,4.812913357
1,1,60,1,16,2,4.477121255
1,1,45,1,16,4,5.267171728
0,0,27,0,12,1,4.041392685
1,1,59,1,17,2,5.238046103
1,1,82,1,16,2,5.62324929
1,0,59,0,15,1,4.397940009
1,1,28,1,16,4,4.579783597
0,1,58,1,14,3,4.880813592
1,0,61,0,12,2,4.447158031
0,1,48,1,13,3,4.903089987
1,1,51,1,17,4,5.397940009
1,1,50,1,14,3,5.100370545
1,1,50,1,14,2,4.944482672
1,1,52,1,16,5,4.977723605
1,1,32,1,16,3,5.139879086
0,1,30,1,12,3,4.875061263
0,1,47,1,15,5,5.004321374
0,0,55,0,16,1,4.505149978
0,1,46,1,16,4,5.301029996
1,1,60,1,14,2,5.017033339
1,1,27,1,11,4,4.740362689
1,0,67,0,14,3,3.698970004
0,0,54,0,14,1,4.919078092
0,1,21,2,14,2,4.431363764
0,1,49,1,11,2,4.672097858
1,1,70,1,17,2,4.301029996
1,0,58,0,12,1,4.556302501
1,1,33,0,17,1,4.880813592
1,1,60,1,13,2,4.707570176
1,1,36,1,10,4,4.643452676
0,0,44,0,3,3,4.301029996
1,1,66,1,13,2,4.278753601
0,0,24,0,16,3,4.397940009
0,1,61,1,17,5,3.84509804
1,1,44,2,14,2,4.77815125
1,1,43,1,14,5,5.696356389
1,0,37,0,13,3,4.230448921
1,1,41,0,12,1,4.255272505
1,0,62,0,17,1,4.785329835
0,0,42,0,13,3,4.204119983
0,1,65,1,12,3,4.041392685
1,0,47,0,16,3,4.531478917
0,1,24,0,12,1,4.278753601
1,0,53,0,16,1,4.799340549
1,1,77,1,10,2,3.602059991
0,1,34,0,16,1,4.322219295
1,1,46,1,17,4,5.505149978
0,1,60,1,17,2,4.77815125
0,1,37,1,16,2,4.903089987
1,1,47,1,15,3,5
1,0,51,0,16,1,4.62324929
1,1,43,1,15,4,4.716003344
1,1,55,1,14,2,4.73239376
1,1,46,1,16,5,4.77815125
0,0,33,0,17,1,4.653212514
1,1,69,1,12,2,3.602059991
0,0,55,0,16,1,4.431363764
0,1,44,1,6,8,4.73239376
0,0,43,0,12,3,4.556302501
0,1,38,1,16,6,4.672097858
1,0,43,0,17,1,5.041392685
0,1,33,2,14,2,4.477121255
1,0,24,0,16,2,4.176091259
0,0,72,0,15,1,3.716003344
0,0,68,0,13,1,3.301029996
1,1,38,1,17,5,4.698970004
1,1,62,1,17,2,5.491361694
1,0,45,0,17,1,4.812913357
1,0,35,0,17,1,4.73239376
1,1,50,1,12,3,4.963787827
1,1,34,1,12,4,5.041392685
1,1,42,1,14,6,5.404833717
0,1,42,1,7,2,4.544068044
1,1,37,1,16,6,5.041392685
1,1,73,1,17,2,4.740362689
0,1,79,1,16,2,5.394451681
1,0,46,1,16,1,5.195899652
0,1,70,2,14,2,4.602059991
1,1,48,0,16,1,4.857332496
1,1,67,1,17,2,5.146128036
1,1,47,1,15,2,4.698970004
1,1,60,1,12,2,4.113943352
1,1,49,1,17,4,6.439332694
1,0,48,0,16,2,4.785329835
1,1,69,1,17,2,5.875061263
1,0,72,0,12,1,3.698970004
1,0,25,0,16,1,4.51851394
0,1,44,1,12,4,4.73239376
1,1,51,1,14,4,5.278753601
0,1,42,1,12,2,4.556302501
1,1,55,1,12,4,4.643452676
0,1,56,1,17,2,4.62324929
0,1,56,1,16,3,4.380211242
0,1,54,1,16,2,4.903089987
1,1,54,1,17,3,4.77815125
0,1,61,1,17,2,5.584331224
1,1,39,1,16,3,5.113943352
0,1,71,1,16,2,5.079181246
1,1,39,1,13,4,4.819543936
0,1,59,1,16,2,5.698970004
0,1,44,1,14,5,4.681241237
1,1,39,1,17,3,5.392696953
1,1,68,1,13,2,3.602059991
1,0,22,0,12,2,4
1,1,54,1,16,3,5.146128036
0,1,64,1,17,2,5.875061263
1,1,64,1,15,2,5.397940009
0,1,27,2,11,7,4.301029996
0,1,51,1,11,3,4.716003344
0,1,49,1,3,5,4.857332496
0,1,29,1,14,6,4.397940009
0,1,40,1,14,2,5.012837225
0,1,60,1,16,2,6.579783597
1,1,36,0,14,2,4.414973348
1,1,60,1,6,4,4.301029996
1,1,42,1,12,5,4.86332286
1,1,49,1,16,3,5.977723605
1,1,51,1,3,2,4.84509804
1,1,58,1,12,2,4.698970004
0,1,71,1,16,2,4.982271233
0,1,49,1,5,6,3.977723605
1,1,61,0,12,1,4.113943352
0,1,72,1,17,2,3.959041392
1,1,38,1,12,4,4.69019608
0,1,27,1,12,4,4.447158031
1,1,47,1,17,4,5.589949601
1,1,54,1,13,4,4.929418926
1,1,59,1,17,2,5.041392685
1,1,52,1,17,5,5.491361694
0,1,51,1,17,2,5.089905111
1,0,58,0,14,1,4.380211242
0,0,36,0,8,3,4.176091259
0,1,24,0,12,2,4.602059991
0,1,20,2,12,4,3.447158031
1,1,38,1,17,2,5.439332694
1,0,30,0,14,4,4.556302501
1,1,61,1,17,3,5.301029996
1,1,50,1,17,3,5.315970345
0,1,52,1,16,3,5.025305865
0,1,58,1,16,2,5.089905111
0,1,58,1,17,2,4.875061263
0,0,50,0,12,1,3.698970004
0,1,50,1,16,4,5.037426498
0,1,59,2,12,2,4.602059991
0,0,20,0,14,6,3.84509804
1,1,55,1,17,4,5.77815125
0,1,60,1,12,2,4.986771734
1,1,42,1,17,4,5.195899652
0,1,49,1,17,3,5.658964843
0,1,74,1,9,2,4.819543936
1,1,42,1,14,5,4.929418926
1,1,23,1,12,4,4.785329835
0,1,60,1,16,2,5.301029996
0,1,60,1,16,2,5.544068044
1,1,33,1,12,4,4.531478917
1,1,31,1,17,3,4.77815125
1,1,56,1,17,2,4.556302501
0,1,56,0,16,1,4.77815125
0,1,41,1,16,4,5.301029996
1,1,48,1,17,4,2.414973348
1,1,64,1,10,2,4.505149978
1,1,52,1,12,3,4.462397998
1,1,41,1,12,5,4.799340549
1,1,57,1,14,2,4.977723605
1,1,74,1,16,2,5.889301703
0,1,28,1,12,5,4.672097858
1,1,37,0,16,1,4.591064607
0,1,47,1,16,3,5.079181246
1,1,63,1,17,2,6.161368002
0,1,58,1,16,2,3.477121255
1,1,38,1,12,8,4.431363764
0,1,30,1,12,4,4.707570176
0,1,24,1,12,2,4.698970004
0,1,59,1,12,2,4.698970004
1,1,55,1,2,3,4.903089987
0,1,38,1,12,4,4.397940009
1,1,30,1,14,4,4.62324929
1,0,56,0,14,4,4.397940009
0,1,38,1,12,3,4.544068044
1,1,40,0,16,1,4.977723605
1,1,45,1,14,4,5.06069784
1,1,44,0,14,1,4.477121255
1,1,52,1,12,2,4.748188027
1,1,48,1,11,2,4.740362689
0,1,37,1,16,2,4.763427994
1,0,42,0,13,2,4.544068044
0,1,43,1,11,4,4.462397998
1,0,61,0,17,2,4.602059991
0,1,50,1,17,2,5.397940009
1,1,44,1,17,4,5.31386722
0,1,70,1,16,2,5.176091259
0,1,52,2,16,2,4.255272505
1,1,59,1,16,2,2.414973348
1,1,42,1,16,4,5.045322979
1,0,29,0,16,1,4.431363764
0,0,28,0,12,4,4.643452676
0,1,66,1,8,2,4.079181246
1,1,41,1,16,2,5.170261715
0,0,42,0,16,2,3.698970004
0,1,30,0,12,1,4.875061263
0,1,35,2,7,4,4.113943352
0,1,46,1,17,4,5.278753601
0,0,46,0,14,1,4.361727836
0,1,77,1,12,2,5.346352974
1,1,56,1,16,2,6.045322979
0,1,51,0,12,2,4.477121255
0,1,36,0,14,2,4.591064607
1,1,26,1,16,3,6.599883072
1,1,30,2,12,3,4.875061263
0,0,22,0,11,2,3.973127854
1,1,61,1,17,2,4.230448921
1,1,38,1,12,6,4.892094603
1,1,49,1,16,4,5.638489257
1,1,56,1,14,3,3.301029996
0,0,54,0,14,1,4.602059991
1,1,61,1,14,2,5.056904851
0,1,48,0,17,1,5.740362689
0,1,35,0,16,1,4.826074803
0,1,66,1,12,3,4.079181246
0,0,39,0,15,3,4.301029996
1,1,62,1,13,2,4.857332496
0,1,34,1,4,5,4.342422681
0,1,60,1,16,2,5.271841607
1,1,39,2,17,3,4.929418926
1,0,40,0,16,3,4.397940009
0,0,48,0,16,4,4.792391689
1,1,20,2,14,2,2.698970004
1,0,44,1,16,1,4.544068044
1,1,47,0,12,2,4.322219295
1,1,67,1,16,2,3.477121255
0,1,34,1,12,3,4.602059991
1,0,46,0,11,1,4.579783597
1,0,27,0,16,2,3.903089987
1,1,39,1,12,5,4.672097858
1,1,46,1,12,2,4.653212514
0,1,47,1,12,3,5
0,1,65,1,17,2,5
0,1,61,1,12,4,4.770852012
0,1,49,0,16,1,4.919078092
1,1,30,1,12,5,4.698970004
0,1,30,2,2,3,3.903089987
1,1,56,1,17,2,4
0,1,69,1,17,2,5.633468456
0,1,64,0,9,1,5.653212514
1,1,45,1,17,6,5.301029996
1,1,38,1,16,2,4.977723605
1,1,46,1,17,6,5.079181246
1,1,58,1,16,2,4.748188027
1,1,38,1,13,6,4.77815125
1,1,44,0,12,3,4.477121255
1,1,47,1,16,4,4.986771734
1,1,62,0,16,1,5.921166051
0,0,52,0,17,1,6.301029996
1,1,45,1,17,4,5.383815366
1,1,45,1,14,6,4.755874856
0,1,54,0,11,1,3.176091259
0,1,32,1,17,3,4.698970004
0,0,41,0,13,3,3.77815125
1,1,32,1,14,4,4.851258349
1,1,56,1,16,3,4.84509804
1,0,24,1,14,3,4.698970004
0,1,73,1,17,2,3.602059991
1,1,67,1,17,2,5.544068044
0,0,69,0,9,3,3.977723605
1,1,34,1,12,4,5.025305865
0,1,26,0,16,2,4.579783597
1,1,51,1,14,9,4.716003344
1,1,42,1,14,5,4.602059991
0,0,24,0,14,2,4.544068044
1,1,43,1,16,4,4.913813852
1,1,80,1,16,2,4.556302501
1,1,58,1,14,2,5.096910013
1,1,24,1,16,2,4.633468456
0,1,24,2,12,4,4.505149978
1,1,58,1,17,2,5.929418926
1,1,52,1,16,2,4.322219295
0,0,39,0,10,4,4.176091259
0,1,41,0,12,2,4.579783597
0,1,50,1,14,2,4.176091259
1,1,47,0,16,3,5.008600172
1,1,56,1,11,2,4.72427587
0,0,44,0,16,8,4.342422681
1,1,34,1,12,5,4.602059991
0,1,74,2,2,2,4.462397998
0,1,38,0,10,1,4.079181246
1,1,22,0,11,1,4
1,0,53,0,17,1,4.77815125
0,1,38,2,16,3,4.84509804
0,1,69,1,12,2,4.079181246
1,0,61,0,13,1,4.602059991
0,1,24,2,16,4,5
1,1,37,0,17,1,5.387389826
0,0,33,0,15,3,4.322219295
0,1,53,1,13,5,4.204119983
1,1,43,1,16,3,4.544068044
1,1,63,1,16,4,4.819543936
1,1,47,1,12,3,4.903089987
0,1,68,0,4,1,3.748188027
0,1,26,2,12,4,4.301029996
1,1,82,0,12,1,4.579783597
